nationality,recommended_recipe_1,recommended_recipe_2,recommended_recipe_3,recommended_recipe_4,recommended_recipe_5,note
بنغلاديش,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تايلاند,ناسي غورينغ,ساتاي دجاج,ناسي ليماك,أرز إندونيسي بالدجاج,نودلز دجاج بالخضار,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تركمانستان,أرز أوزبكي بلوف,مانتي,لاجمان لحم,سامسا أوزبكية,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تركيا,أرز أوزي تركي,شوربة عدس تركية,كباب تركي مشوي,سارما ورق محشي,مانتي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تشاد,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تنزانيا,إنجيرا يخنة دجاج,دورو وات مع إنجيرا,أرز صومالي بالدجاج,دجاج مشوي وأرز,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
تونس,كسكس بالخضار واللحم,طاجن دجاج,شوربة حريرة,مقرونة تونسية بالدجاج,مكرونة مبكبكة,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
جيبوتي,إنجيرا يخنة دجاج,دورو وات مع إنجيرا,أرز صومالي بالدجاج,دجاج مشوي وأرز,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
روسيا,دجاج مشوي بالبطاطس والأعشاب,مكرونة بالدجاج,سمك مشوي وأرز,شوربة خضار,ساندويتش دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
ساحل العاج,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
سريلانكا,أرز وكاري سريلانكي,كوتو روتي دجاج,هوبرز سريلانكية,بيتو وجوز الهند,كاري سمك بنغلاديشي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
سلطنة عُمان,كبسة دجاج سعودية,مجبوس دجاج خليجي,هريس دجاج خليجي,صالونة دجاج خليجية,بالاليط خليجي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
سنغافورة,ناسي غورينغ,ساتاي دجاج,ناسي ليماك,أرز إندونيسي بالدجاج,نودلز دجاج بالخضار,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
سوريا,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
طاجيكستان,أرز أوزبكي بلوف,مانتي,لاجمان لحم,سامسا أوزبكية,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
غانا,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
غينيا,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
فرنسا,دجاج مشوي بالبطاطس والأعشاب,مكرونة بالدجاج,سمك مشوي وأرز,شوربة خضار,ساندويتش دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
فلسطين,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
قرغيزستان,أرز أوزبكي بلوف,مانتي,لاجمان لحم,سامسا أوزبكية,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
قطر,كبسة دجاج سعودية,مجبوس دجاج خليجي,هريس دجاج خليجي,صالونة دجاج خليجية,بالاليط خليجي,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
كازاخستان,أرز أوزبكي بلوف,مانتي,لاجمان لحم,سامسا أوزبكية,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
كينيا,إنجيرا يخنة دجاج,دورو وات مع إنجيرا,أرز صومالي بالدجاج,دجاج مشوي وأرز,خضار مشكلة وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
لبنان,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
ليبيا,كسكس بالخضار واللحم,طاجن دجاج,شوربة حريرة,مقرونة تونسية بالدجاج,مكرونة مبكبكة,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
مالي,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
ماليزيا,ناسي غورينغ,ساتاي دجاج,ناسي ليماك,أرز إندونيسي بالدجاج,نودلز دجاج بالخضار,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
مصر,كبسة دجاج,مندي دجاج,حمص وفلافل,مقلوبة دجاج,شاورما دجاج,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
موريتانيا,كسكس بالخضار واللحم,طاجن دجاج,شوربة حريرة,مقرونة تونسية بالدجاج,مكرونة مبكبكة,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
نيبال,برياني دجاج هندي,دجاج بالكاري,تشانا مسالا,روتي وخضار,باراثا وبيض,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
نيجيريا,جولوف رايس,دجاج جولوف,أرز وصلصة الفول السوداني,شوربة إيجوسي باللحم,دجاج مشوي وأرز,مرجع تشغيل قابل للتعديل حسب عقد البعثة وتفضيلاتها والحساسيات الغذائية.
