hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review,hotel_name_ar,hotel_name_en,bilingual_name_method
فندق نزل رويال إن,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نزل رويال إن,Nozol Royal Inn Hotel,OTA/brand matched
فندق شذا المدينة,المنطقة المركزية الشمالية,قرب المسجد النبوي، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق شذا المدينة,Shaza Al Madina,OTA/brand matched
فندق مادن المدينة,المنطقة المركزية الشمالية,المنطقة المركزية، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق مادن المدينة,MADEN Hotel,OTA/brand matched
فندق أودست المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أودست المدينة,Odest Hotel Al Madina,OTA/brand matched
فندق زوار إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق زوار إنترناشيونال,Zowar International Hotel,OTA/brand matched
فندق أجنحة طيبة أراك,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أجنحة طيبة أراك,Taiba Arac Suites,OTA/brand matched
فندق دار النعيم,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار النعيم,Dar Al Naeem Hotel,OTA/brand matched
فندق جراند بلازا بدر المقام,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جراند بلازا بدر المقام,Grand Plaza Badr Al Maqam,OTA/brand matched
فندق جراند بلازا المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جراند بلازا المدينة,Grand Plaza Al Madina,OTA/brand matched
فندق حياة إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق حياة إنترناشيونال,Hayatt International Hotel,OTA/brand matched
فندق أجنحة طيبة فرونت,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أجنحة طيبة فرونت,Taiba Front Suites,OTA/brand matched
فندق بلاتينيوم المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بلاتينيوم المدينة,Platinum Hotel Madinah,OTA/brand matched
فندق نزل الشاكرين,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نزل الشاكرين,Golden Tulip Al Shakreen,OTA/brand matched
فندق طيبة فرونت,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق طيبة فرونت,Taiba Front Hotel,OTA/brand matched
فندق المدينة أراك,المنطقة المركزية الشمالية,المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق المدينة أراك,Al Madinah Arac Hotel,OTA/brand matched
فندق إيلاف طيبة,المنطقة المركزية الغربية,شارع سعد بن معاذ، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إيلاف طيبة,Elaf Taiba Hotel,OTA/brand matched
فندق سجى المدينة,المنطقة المركزية الغربية,طريق الملك فيصل، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق سجى المدينة,Saja Al Madinah Hotel,OTA/brand matched
فندق إعمار إيليت المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إعمار إيليت المدينة,Emaar Elite Al Madina Hotel,OTA/brand matched
فندق العقيق المدينة,المنطقة المركزية الغربية,شارع مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق العقيق المدينة,Al Aqeeq Hotel Madinah,OTA/brand matched
فندق ميلينيوم العقيق,المنطقة المركزية الغربية,طريق مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ميلينيوم العقيق,Millennium Al Aqeeq Hotel,OTA/brand matched
فندق البسفور المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق البسفور المدينة,Bosphorus Hotel Medina,OTA/brand matched
فندق جولدن توليب المكتان,المنطقة المركزية الغربية,طريق السلام، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جولدن توليب المكتان,Emaar Mektan Hotel,OTA/brand matched
فندق رؤى الهجرة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق رؤى الهجرة,Rua Al Hijrah Hotel,OTA/brand matched
فندق الماسة المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الماسة المدينة,Al Masa Hotel Madinah,OTA/brand matched
فندق روضة العقيق,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق روضة العقيق,Rawdat Al Aqeeq Hotel,OTA/brand matched
فندق بلنسية المدينة,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بلنسية المدينة,Balensia Hotel,OTA/brand matched
فندق البسفور بلس,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق البسفور بلس,Bosphorus Plus Hotel,OTA/brand matched
فندق دار الإيمان النور,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الإيمان النور,Dar Al Eiman Al Nour Hotel,OTA/brand matched
فندق كراون بلازا المدينة,المنطقة المركزية الجنوبية,طريق الملك فيصل، جنوب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق كراون بلازا المدينة,Crowne Plaza Madinah by IHG,OTA/brand matched
فندق بولمان زمزم المدينة,المنطقة المركزية الجنوبية,شارع عمرو بن الجموح، قرب باب السلام,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بولمان زمزم المدينة,Pullman Zamzam Madina,OTA/brand matched
فندق نيو المدينة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نيو المدينة,New Madinah Hotel,OTA/brand matched
فندق منازل الأسواف,المنطقة المركزية الجنوبية,طريق الملك عبدالعزيز، جنوب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق منازل الأسواف,Manazil Al Aswaf Hotel,OTA/brand matched
فندق روتانا المسك,المنطقة المركزية الجنوبية,جنوب غرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق روتانا المسك,Rotana Al Mesk Hotel,OTA/brand matched
فندق إيلاف التقوى,المنطقة المركزية الجنوبية,شارع السلام، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إيلاف التقوى,Elaf Al Taqwa Hotel,OTA/brand matched
فندق حياة بلازا,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق حياة بلازا,Hayah Plaza Hotel,OTA/brand matched
فندق روضة الصفوة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق روضة الصفوة,Rawdat Al Safwa Hotel,OTA/brand matched
فندق فالِي المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق فالِي المدينة,VALY Al-Madinah Hotel,OTA/brand matched
فندق فيو المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق فيو المدينة,View Al Madinah Hotel,OTA/brand matched
فندق مسك البلد,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق مسك البلد,Mysk Al Balad,OTA/brand matched
فندق وقف عثمان بن عفان,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق وقف عثمان بن عفان,Waqf Othman Bin Affan Hotel,OTA/brand matched
فندق الأندلس بالاس,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الأندلس بالاس,Al Andalus Palace Hotel,OTA/brand matched
فندق روف المدينة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق روف المدينة,Ruve Al Madinah Hotel,OTA/brand matched
فندق نُسك الهجرة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نُسك الهجرة,Nusk Al Hijrah Hotel,OTA/brand matched
فندق نُسك الروضة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نُسك الروضة,Nusk Al Rawda Hotel,OTA/brand matched
فندق رؤى الأندلس البلاتيني,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق رؤى الأندلس البلاتيني,Roaa Alandalus Platinum Hotel,OTA/brand matched
فندق دار الإيمان الحرم,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الإيمان الحرم,Dar Al Eiman Al Haram Hotel,OTA/brand matched
فندق طيبة روز,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق طيبة روز,Taiba Rose Hotel,OTA/brand matched
فندق إيلاف المشاعر,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إيلاف المشاعر,Elaf Al Mashaer Hotel,OTA/brand matched
فندق لو ميريديان المدينة,الخالدية,طريق خالد بن الوليد، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق لو ميريديان المدينة,Le Méridien Medina,OTA/brand matched
فندق ماريوت المدينة,قرب المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ماريوت المدينة,Madinah Marriott Hotel,OTA/brand matched
فندق راديسون المدينة,العريض,طريق الملك عبدالله، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق راديسون المدينة,Radisson Hotel Madinah,OTA/brand matched
فندق ميلينيوم مطار المدينة,مطار الأمير محمد بن عبدالعزيز,طريق المطار، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ميلينيوم مطار المدينة,Millennium Madinah Airport,OTA/brand matched
فندق هافن بلازا,قربان,طريق قربان، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق هافن بلازا,Haven Plaza Hotel,OTA/brand matched
فندق جولدن جاردن,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جولدن جاردن,Golden Garden Hotel,OTA/brand matched
فندق ديلانو المدينة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ديلانو المدينة,Delano Al Madinah Hotel,OTA/brand matched
فندق ساس رتل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ساس رتل,SAS RTL Hotel,OTA/brand matched
فندق مورايا,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق مورايا,Moraya Hotel,OTA/brand matched
فندق وايت دايموند,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق وايت دايموند,White Diamond Hotel,OTA/brand matched
فندق جادة المدينة,قربان,قربان، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جادة المدينة,Jadah Al Madinah Hotel,OTA/brand matched
فندق إي هوتيل,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إي هوتيل,E Hotel,OTA/brand matched
فندق العلياء,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق العلياء,Al Alya Hotel,OTA/brand matched
فندق العييري 14,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق العييري 14,Al Eairy Apartments Madinah 14,OTA/brand matched
فندق أجنحة المها,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أجنحة المها,Al Maha Suites,OTA/brand matched
فندق ساس دارك,القصواء,القصواء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ساس دارك,SAS Dark Hotel,OTA/brand matched
فندق بلاتينيوم الأول,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بلاتينيوم الأول,Platinum The First,OTA/brand matched
فندق شذا الضيافة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق شذا الضيافة,Shaza Al Diyafa Hotel,OTA/brand matched
فندق أجنحة جادة قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أجنحة جادة قباء,Jadah Quba Suites,OTA/brand matched
فندق قباء العزيزية,قباء,قرب مسجد قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق قباء العزيزية,Quba Al Aziziyah Hotel,OTA/brand matched
فندق الحمراء بلس,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الحمراء بلس,Al Hamra Plus Hotel,OTA/brand matched
فندق الوردة البيضاء,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الوردة البيضاء,White Rose Hotel,OTA/brand matched
فندق سكون,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق سكون,Sukoon Hotel,OTA/brand matched
فندق ديم المدينة,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ديم المدينة,Deem Almadina Hotel,OTA/brand matched
فندق إمضاء النزيل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إمضاء النزيل,Imdaa Al Nazil Hotel,OTA/brand matched
فندق ون نايت,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ون نايت,One Night Hotel,OTA/brand matched
فندق تريبُل ثري,قرب المطار,طريق المطار، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق تريبُل ثري,Triple Three Hotel,OTA/brand matched
فندق أنسام طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق أنسام طيبة,Ansam Taiba Hotel,OTA/brand matched
فندق دار الإيمان السلام,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الإيمان السلام,Dar Al Eiman Al Salam Hotel,OTA/brand matched
فندق دار الإيمان قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الإيمان قباء,Dar Al Eiman Quba Hotel,OTA/brand matched
فندق الضيافة الذهبية,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الضيافة الذهبية,Golden Diyafa Hotel,OTA/brand matched
فندق الروضة العقيق,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق الروضة العقيق,Al Rawda Al Aqeeq Hotel,OTA/brand matched
فندق بيوت قباء,قباء,قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بيوت قباء,Buyut Quba Hotel,OTA/brand matched
