hotel_name,district,address,city,source_status,booking_search_url,expedia_search_url,agoda_search_url,official_license
فندق إيلاف التقوى,المنطقة المركزية الجنوبية,شارع السلام، قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق حياة بلازا,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق روضة الصفوة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق فالِي المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق فيو المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق مسك البلد,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق وقف عثمان بن عفان,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الأندلس بالاس,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق روف المدينة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نُسك الهجرة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نُسك الروضة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق رؤى الأندلس البلاتيني,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار الإيمان الحرم,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق طيبة روز,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إيلاف المشاعر,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق لو ميريديان المدينة,الخالدية,طريق خالد بن الوليد، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ماريوت المدينة,قرب المنطقة المركزية,المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق راديسون المدينة,العريض,طريق الملك عبدالله، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ميلينيوم مطار المدينة,مطار الأمير محمد بن عبدالعزيز,طريق المطار، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق هافن بلازا,قربان,طريق قربان، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جولدن جاردن,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ديلانو المدينة,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ساس رتل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق مورايا,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق وايت دايموند,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جادة المدينة,قربان,قربان، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إي هوتيل,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق العلياء,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق العييري 14,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أجنحة المها,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ساس دارك,القصواء,القصواء، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بلاتينيوم الأول,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق شذا الضيافة,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أجنحة جادة قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق قباء العزيزية,قباء,قرب مسجد قباء، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الحمراء بلس,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الوردة البيضاء,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق سكون,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ديم المدينة,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق إمضاء النزيل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق ون نايت,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق تريبُل ثري,قرب المطار,طريق المطار، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق أنسام طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار الإيمان السلام,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار الإيمان قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الضيافة الذهبية,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق الروضة العقيق,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بيوت قباء,قباء,قباء، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق هوم تل,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق نرسيان طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق دار الشروق,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق طيبة فيو,العريض,العريض، المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق مكارم برج المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق بنينسولا ورث,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق جادة ريزيدنس باي سي إتش,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
فندق فينيو الحارثية,المنطقة المركزية الشمالية,قرب المسجد النبوي,المدينة المنورة,Aggregated; verify license before contracting,https://www.booking.com/city/sa/medina.html,https://www.expedia.com/Madinah-Hotels.d602705.Travel-Guide-Hotels,https://www.agoda.com/city/medina-sa.html,
