hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review
فندق نزل رويال إن,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق شذا المدينة,المنطقة المركزية الشمالية,قرب المسجد النبوي، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق مادن المدينة,المنطقة المركزية الشمالية,المنطقة المركزية، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أودست المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق زوار إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أجنحة طيبة أراك,المنطقة المركزية الشمالية,شارع أبي عبيدة بن الجراح,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار النعيم,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جراند بلازا بدر المقام,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جراند بلازا المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق حياة إنترناشيونال,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أجنحة طيبة فرونت,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بلاتينيوم المدينة,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نزل الشاكرين,المنطقة المركزية الشمالية,المنطقة المركزية الشمالية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق طيبة فرونت,المنطقة المركزية الشمالية,طريق الملك فهد، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق المدينة أراك,المنطقة المركزية الشمالية,المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إيلاف طيبة,المنطقة المركزية الغربية,شارع سعد بن معاذ، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق سجى المدينة,المنطقة المركزية الغربية,طريق الملك فيصل، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إعمار إيليت المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق العقيق المدينة,المنطقة المركزية الغربية,شارع مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ميلينيوم العقيق,المنطقة المركزية الغربية,طريق مصعب بن عمير، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق البسفور المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جولدن توليب المكتان,المنطقة المركزية الغربية,طريق السلام، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق رؤى الهجرة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الماسة المدينة,المنطقة المركزية الغربية,طريق السلام، المنطقة المركزية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق روضة العقيق,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بلنسية المدينة,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق البسفور بلس,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الإيمان النور,المنطقة المركزية الغربية,المنطقة المركزية الغربية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق كراون بلازا المدينة,المنطقة المركزية الجنوبية,طريق الملك فيصل، جنوب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بولمان زمزم المدينة,المنطقة المركزية الجنوبية,شارع عمرو بن الجموح، قرب باب السلام,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نيو المدينة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق منازل الأسواف,المنطقة المركزية الجنوبية,طريق الملك عبدالعزيز، جنوب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق روتانا المسك,المنطقة المركزية الجنوبية,جنوب غرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إيلاف التقوى,المنطقة المركزية الجنوبية,شارع السلام، قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق حياة بلازا,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق روضة الصفوة,المنطقة المركزية الجنوبية,المنطقة المركزية الجنوبية,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق فالِي المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق فيو المدينة,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق مسك البلد,المنطقة المركزية الجنوبية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق وقف عثمان بن عفان,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الأندلس بالاس,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق روف المدينة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نُسك الهجرة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نُسك الروضة,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق رؤى الأندلس البلاتيني,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الإيمان الحرم,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق طيبة روز,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إيلاف المشاعر,المنطقة المركزية,المنطقة المركزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق لو ميريديان المدينة,الخالدية,طريق خالد بن الوليد، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ماريوت المدينة,قرب المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق راديسون المدينة,العريض,طريق الملك عبدالله، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ميلينيوم مطار المدينة,مطار الأمير محمد بن عبدالعزيز,طريق المطار، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق هافن بلازا,قربان,طريق قربان، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جولدن جاردن,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ديلانو المدينة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ساس رتل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق مورايا,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق وايت دايموند,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جادة المدينة,قربان,قربان، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إي هوتيل,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق العلياء,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق العييري 14,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أجنحة المها,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ساس دارك,القصواء,القصواء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بلاتينيوم الأول,العزيزية,العزيزية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق شذا الضيافة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أجنحة جادة قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق قباء العزيزية,قباء,قرب مسجد قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الحمراء بلس,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الوردة البيضاء,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق سكون,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ديم المدينة,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إمضاء النزيل,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ون نايت,شظاة,شظاة، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق تريبُل ثري,قرب المطار,طريق المطار، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق أنسام طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الإيمان السلام,العنبرية,العنبرية، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الإيمان قباء,قباء,طريق قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الضيافة الذهبية,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق الروضة العقيق,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بيوت قباء,قباء,قباء، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق هوم تل,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نرسيان طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الشروق,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق طيبة فيو,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق مكارم برج المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق بنينسولا ورث,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جادة ريزيدنس باي سي إتش,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق فينيو الحارثية,المنطقة المركزية الشمالية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ذا بلتمور المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جراند ميلينيوم الحرم,المنطقة المركزية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق روتانا المناخة المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق جيور المدينة,المنطقة المركزية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق إيوا إكسبريس المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق آفال,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق سيجنتشر جيست المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق دار الرضا,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ميراج السلام,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق سرايا طابة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق زها المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق درة الإيمان,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق ديار المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق منازل الصافية,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق المدينة الذهبي,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
فندق نزل الهجرة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21
Anwar Al Madinah Mövenpick Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Pullman Zamzam Madina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Sofitel Shahd Al Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Saja Al Madinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Millennium Al Aqeeq Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
